OPEN_TIME,BTC_OPEN,BTC_PREV_HI,BTC_PREV_LO,BTC_PREV_VOL,BTC_PREV_QTE_ASSET_VOL,BTC_PREV_NMBR_TRADES,BTC_PREV_TKR_BUY_BSE_ASSET_VOL,BTC_PREV_TKR_BUY_QTE_ASSET_VOL,ETH_OPEN,ETH_PREV_HI,ETH_PREV_LO,ETH_PREV_VOL,ETH_PREV_QTE_ASSET_VOL,ETH_PREV_NMBR_TRADES,ETH_PREV_TKR_BUY_BSE_ASSET_VOL,ETH_PREV_TKR_BUY_QTE_ASSET_VOL,GVZ_OPEN,GVZ_ADJ_CLS,GVZ_PREV_OPEN,GVZ_PREV_CLS,GVZ_PREV_VOL,GVZ_PREV_HI,GVZ_PREV_LO,OVX_OPEN,OVX_ADJ_CLS,OVX_PREV_OPEN,OVX_PREV_CLS,OVX_PREV_VOL,OVX_PREV_HI,OVX_PREV_LO,QQQ_OPEN,QQQ_ADJ_CLS,QQQ_PREV_OPEN,QQQ_PREV_CLS,QQQ_PREV_VOL,QQQ_PREV_HI,QQQ_PREV_LO,SPY_OPEN,SPY_ADJ_CLS,SPY_PREV_OPEN,SPY_PREV_CLS,SPY_PREV_VOL,SPY_PREV_HI,SPY_PREV_LO,TSLA_OPEN,TSLA_ADJ_CLS,TSLA_PREV_OPEN,TSLA_PREV_CLS,TSLA_PREV_VOL,TSLA_PREV_HI,TSLA_PREV_LO,VIX_OPEN,VIX_ADJ_CLS,VIX_PREV_OPEN,VIX_PREV_CLS,VIX_PREV_VOL,VIX_PREV_HI,VIX_PREV_LO,VVIX_OPEN,VVIX_ADJ_CLS,VVIX_PREV_OPEN,VVIX_PREV_CLS,VVIX_PREV_VOL,VVIX_PREV_HI,VVIX_PREV_LO,VXN_OPEN,VXN_ADJ_CLS,VXN_PREV_OPEN,VXN_PREV_CLS,VXN_PREV_VOL,VXN_PREV_HI,VXN_PREV_LO,A_SOPR_BTC,ADDRESSES_WITH_BAL_10K_BTC,ADDRESSES_WITH_BAL_1K_BTC,ADDRESSES_WITH_BAL_32_ETH_ETH,ADDRESSES_WITH_NON_ZERO_BAL_BTC,ADDRESSES_WITH_NON_ZERO_BAL_ETH,ASOL_BTC,BALD_PRCE_BTC,CHANGE_ADJUSTED_VOL_MEAN_BTC,CHANGE_ADJUSTED_VOL_MEDIAN_BTC,CIRC_SUPPL_BTC,CIRC_SUPPL_ETH,DELTA_CAP_BTC,EXCH_BAL_BTC,EXCH_BAL_ETH,EXCH_DEPOSITS_BTC,EXCH_DEPOSITS_ETH,EXCH_INFLO_VOL_MEAN_BTC,EXCH_INFLO_VOL_MEAN_ETH,EXCH_NET_POS_CHANGE_BTC,EXCH_NET_POS_CHANGE_ETH,EXCH_OUTFLO_VOL_MEAN_BTC,EXCH_OUTFLO_VOL_MEAN_ETH,EXCH_WITHDRAWALS_BTC,EXCH_WITHDRAWALS_ETH,FEE_RATIO_MULTIPLE_FRM_BTC,INVESTOR_CAPITALIZATION_BTC,MARKET_CAP_TO_THERMOCAP_RATIO_BTC,MINER_REVENUE_FEES_BTC,MINER_REVENUE_FEES_ETH,MSOL_BTC,MVRV_RATIO_BTC,MVRV_RATIO_ETH,MVRV_Z_SCORE_BTC,MVRV_Z_SCORE_ETH,NET_REALIZED_PROFIT_LOSS_BTC,NET_UNREALIZED_PROFIT_LOSS_NUPL_BTC,NET_UNREALIZED_PROFIT_LOSS_NUPL_ETH,PERC_SUPPL_IN_PROFIT_BTC,PERC_SUPPL_IN_PROFIT_ETH,PRCE_DRAWDOWN_FROM_ATH_BTC,PRCE_DRAWDOWN_FROM_ATH_ETH,REALIZED_CAP_BTC,REALIZED_CAP_ETH,REALIZED_LOSS_BTC,REALIZED_P_L_RATIO_BTC,REALIZED_PROFIT_BTC,REALIZED_PROFITS_TO_VALUE_RPV_RATIO_BTC,RELATIVE_UNREALIZED_LOSS_ETH,RELATIVE_UNREALIZED_PROFIT_ETH,RESERVE_RISK_BTC,SUPPL_IN_LOSS_ETH,SUPPL_IN_PROFIT_ETH
1502928000000,4261.48,4485.39,4200.74,795.150377,3454770.05073206,3427.0,616.248541,2678216.40060401,301.13,312.18,298.0,7030.71034,2154655.3003566,4522.0,6224.58999,1908705.3685302,12.26,13.34,12.2,12.58,0.0,12.68,11.39,29.34,29.309999,29.309999,29.18,0.0,29.65,25.98,144.289993,139.140732,143.229996,139.044098,34161000.0,144.149994,143.190002,246.979996,226.019592,245.589996,226.047089,73291900.0,246.789993,245.550003,72.241997,70.384003,72.599998,72.582001,17069000.0,73.300003,72.503998,11.78,12.04,14.05,12.33,0.0,14.05,12.06,98.389999,117.769997,97.540001,94.82,0.0,97.540001,93.690002,15.12,18.6,14.36,14.22,0.0,14.7,13.89,1.09061421015853,121.0,1789.0,62300.0,18501930.0,2663021.0,46.6037993725774,1123.5301251045205,6.94074244543924,0.06873717,16510525.0,94045925.18698,16858877827.859236,1518809.738367059,18943160.554572027,73790.0,28524.0,1.1070398099549654,11.995275698818077,137691.34263582947,-1263556.296654027,1.8982244798005667,17.78231036391147,44826.0,23381.0,7.12482853750206,19688348870.854897,1.5147891096e-06,0.140354254805772,0.029734802,1.51201388888889,3.1384436979586985,2.99480109270448,5.72850686560347,2.61425012244637,345794282.355874,0.180690170716913,0.762854348924013,0.997943771181457,0.955838910476698,-0.009208791800329,-0.2656217968116987,22513081725.0085,9531104514.77283,31621778.2373561,11.9353205806552,377416060.59323,0.0167643002056879,0.0043314121464831,0.767185761070496,0.0081222051475592,3889933.800185,77839497.087964
1503014400000,4285.08,4485.39,4200.74,795.150377,3454770.05073206,3427.0,616.248541,2678216.40060401,302.0,312.18,298.0,7030.71034,2154655.3003566,4522.0,6224.58999,1908705.3685302,13.34,12.12,12.26,13.34,0.0,13.36,11.96,29.309999,27.530001,29.34,29.309999,0.0,29.67,28.59,144.389999,139.382309,144.289993,139.140732,25509200.0,144.300003,143.639999,247.110001,226.413834,246.979996,226.019592,55242700.0,247.0,246.160004,70.582001,69.491997,72.241997,70.384003,25138500.0,72.660004,70.318001,11.59,11.74,11.78,12.04,0.0,12.37,11.45,114.769997,114.389999,98.389999,117.769997,0.0,120.760002,96.470001,18.6,17.85,15.12,18.6,0.0,18.629999,14.71,1.05546427354628,120.0,1787.0,62176.0,18567198.0,2694501.0,43.2604277827531,1133.570241107058,7.71056886264402,0.0875117,16512762.5,94068458.15573,17036805750.274069,1515355.4142621793,18869493.124550138,70701.0,28351.0,1.831351106428212,14.843038650573847,114357.13736776938,-1291729.1621328185,2.4713038720405445,21.811511184871183,47405.0,21821.0,6.510975860092892,19882380480.88684,1.4485962303e-06,0.153586808104943,0.043666169,0.776863425925926,2.983254427545147,2.93648917345786,5.29189022440958,2.48210235918332,194051981.212521,0.137139414861375,0.750459786739096,0.966812954799944,0.951930123474474,-0.0422623009708998,-0.2655046516395443,22714990493.7805,9586918566.47021,50305710.1881595,4.85745436227229,244357691.400681,0.0107575519993102,0.0067094659533266,0.757169252692422,0.0079200870563022,7973508.929529,73719034.015539
1503100800000,4108.37,4371.52,3938.77,1199.888264,5086958.30617151,5233.0,972.86871,4129123.31651808,293.31,311.79,283.94,9537.84646,2858946.5093539,5658.0,7452.43542,2240813.2612264,13.34,12.12,12.26,13.34,0.0,13.36,11.96,29.309999,27.530001,29.34,29.309999,0.0,29.67,28.59,144.389999,139.382309,144.289993,139.140732,25509200.0,144.300003,143.639999,247.110001,226.413834,246.979996,226.019592,55242700.0,247.0,246.160004,70.582001,69.491997,72.241997,70.384003,25138500.0,72.660004,70.318001,11.59,11.74,11.78,12.04,0.0,12.37,11.45,114.769997,114.389999,98.389999,117.769997,0.0,120.760002,96.470001,18.6,17.85,15.12,18.6,0.0,18.629999,14.71,1.08102339722499,119.0,1793.0,62217.0,18587749.0,2717066.0,63.4773096940818,1146.315037145656,7.53174455881084,0.06692757,16514625.0,94090768.62448,17262075248.105644,1527623.3741646486,18814305.306117665,61535.0,23234.0,1.9176081189363776,13.96583822368197,110060.8128949299,-1333221.89683659,3.022753548741323,20.15258448371203,40738.0,14915.0,8.098218315034366,20124125579.568825,1.4561899763e-06,0.123483951790173,0.020485863,1.54158564814815,2.974720243239587,2.86371866573501,5.28326450566689,2.47741919376569,241756190.610806,0.163588394271501,0.750561673296753,0.944262450023744,0.901904446837411,-0.0815592087883216,-0.2865859015785311,22964433894.2119,9614288036.96532,44291756.9248438,6.45826599339982,286047947.53565,0.0124561288492178,0.0062690621442947,0.756830735441048,0.0076598375674155,7691588.158341,74052053.420298
1503187200000,4120.98,4184.69,3850.0,381.309763,1549483.73542151,2153.0,274.336042,1118001.87008735,289.41,299.9,278.0,2146.19773,620022.5898617,1795.0,1537.9755,444713.6122086,13.34,12.12,12.26,13.34,0.0,13.36,11.96,29.309999,27.530001,29.34,29.309999,0.0,29.67,28.59,144.389999,139.382309,144.289993,139.140732,25509200.0,144.300003,143.639999,247.110001,226.413834,246.979996,226.019592,55242700.0,247.0,246.160004,70.582001,69.491997,72.241997,70.384003,25138500.0,72.660004,70.318001,11.59,11.74,11.78,12.04,0.0,12.37,11.45,114.769997,114.389999,98.389999,117.769997,0.0,120.760002,96.470001,18.6,17.85,15.12,18.6,0.0,18.629999,14.71,1.1037977550217,119.0,1791.0,61639.0,18592201.0,2735358.0,68.1621501631151,1160.9620765665063,7.49099026492277,0.0784046,16516512.5,94113332.99948,17527279196.499393,1522434.4612002785,18838146.18987732,48083.0,19866.0,2.015011206734472,11.113107665880095,143319.0087556492,-1451436.7751498967,2.5000623427952644,16.194631085352913,35982.0,15157.0,8.775789440469413,20406278125.312084,1.4217267827e-06,0.113949862491973,0.013071988,2.42075231481481,2.875241582626541,2.86115168524081,5.14774916658372,2.5158217546574,282156807.440786,0.280702177869418,0.754618978212556,0.957476643143823,0.905716497979076,-0.0742354429821219,-0.2847066977752176,23253232094.6129,9635686584.46167,21225248.0765699,14.2934515734708,303382055.517356,0.0130468768506224,0.0049484436223886,0.759567421834945,0.007706606974248,5781296.381239,75897413.021247
1503273600000,4069.13,4211.08,4032.62,467.083022,1930364.39032646,2321.0,376.795947,1557401.3337373,299.1,300.53,282.85,2510.13871,742847.8945599,2038.0,2186.68739,647506.0620205,12.96,13.01,13.34,12.12,0.0,13.94,12.01,28.18,28.77,29.309999,27.530001,0.0,29.77,27.27,143.720001,136.53241,144.389999,139.382309,31913000.0,144.960007,143.800003,246.240005,222.88385,247.110001,226.413834,56715500.0,247.570007,246.449997,69.164001,67.571999,70.582001,69.491997,27041000.0,70.800003,69.160004,11.81,15.55,11.59,11.74,0.0,12.54,11.25,112.919998,101.389999,114.769997,114.389999,0.0,121.68,107.339996,18.09,17.370001,18.6,17.85,0.0,19.07,16.67,1.03936499449333,119.0,1793.0,61831.0,18662405.0,2757974.0,39.8722716032184,1168.0241808437297,8.77232844390395,0.11128202,16518137.5,94135465.49948,17640887544.07607,1529327.1182216485,18813421.81968651,57971.0,28214.0,2.1746446870814373,18.58423176022471,115725.95194211858,-1529548.1269210316,2.726398389908648,20.39934825581769,43885.0,21434.0,5.824392697167784,20537330781.15558,1.3998794483e-06,0.171691719977306,0.014295104,0.812083333333333,2.820464313735094,3.08884423822544,4.87606683211186,2.78162135907342,131054211.686495,0.269316861020951,0.779163675307472,0.921872338551507,0.927623594282782,-0.0940304157740778,-0.2747103097513593,23390074116.097,9700465187.89112,38246778.9669321,4.42654244949108,169300990.653427,0.0072381553736469,0.0021640237202131,0.781327699027685,0.0076159703312451,2339154.851501,79400340.431207
1503360000000,4016.0,4119.62,3911.79,691.74306,2797231.71402728,3972.0,557.356107,2255662.55315837,321.04,346.52,294.6,5219.44542,1689472.341214,3925.0,4004.19967,1297977.4231142,13.01,12.49,12.96,13.01,0.0,13.14,12.74,28.77,27.969999,28.18,28.77,0.0,29.469999,27.950001,141.410004,136.435791,143.720001,136.53241,70191000.0,143.940002,141.330002,242.899994,222.535461,246.240005,222.88385,128490400.0,246.600006,243.089996,68.225998,68.269997,69.164001,67.571999,32477000.0,69.164001,66.370003,15.38,14.26,11.81,15.55,0.0,15.77,11.54,96.980003,92.699997,112.919998,101.389999,0.0,113.870003,101.239998,17.370001,15.21,18.09,17.370001,0.0,18.65,17.08,1.05304793089229,118.0,1783.0,61745.0,18735399.0,2789331.0,23.240335100201,1175.9597238652773,7.7437438357345,0.13737292,16519575.0,94158211.28073,17781655138.640938,1535695.0149299488,18900475.22214628,47399.0,22453.0,2.6132759545143567,14.575726948335635,120507.15267650924,-1419641.299242895,3.710360700999196,18.356356806892173,34821.0,17142.0,4.328996958355506,20697555646.74744,1.4312323941e-06,0.231000393305862,0.014241708,0.720509259259259,2.8680630376550504,2.99783357872269,5.03830124635515,2.68695415361062,160202571.030837,0.235131219090835,0.770939015897471,0.906083875985065,0.970884131828434,-0.1061382273236251,-0.2188955162685356,23554668652.8189,9772883169.38368,62492503.3904042,3.56354862326473,222695074.421242,0.009454392150602,0.0027128352798744,0.773651851177346,0.0074587744453562,2828848.309704,78897210.932529
1503446400000,4040.0,4104.82,3400.0,966.684858,3752505.77214051,6494.0,423.995181,1637188.36934226,312.25,330.41,144.21,7956.35088,2454425.8033137,6577.0,4433.78132,1364472.488333,12.71,12.68,13.01,12.49,0.0,13.01,12.27,28.15,27.799999,28.77,27.969999,0.0,28.9,27.93,141.220001,136.261887,141.410004,136.435791,60751900.0,142.199997,140.649994,242.639999,222.709656,242.899994,222.535461,136748000.0,244.190002,242.199997,67.797997,70.554001,68.225998,68.269997,21610000.0,68.447998,67.473999,14.59,13.19,15.38,14.26,0.0,16.040001,13.32,97.489998,98.959999,96.980003,92.699997,0.0,97.279999,92.099998,15.97,15.8,17.370001,15.21,0.0,17.370001,14.94,1.07485310084254,119.0,1777.0,62095.0,18756574.0,2813446.0,27.3338602360464,1188.3750488951107,6.5388574200812,0.08594732,16520687.5,94180730.81198,18003523380.398273,1530311.887057068,18913044.894213457,70886.0,25878.0,1.68640655985045,11.38467137644854,130071.6339413596,-1360235.8670291267,2.2824422850891715,16.760298444770463,44151.0,19570.0,4.667172538606512,20935243585.39265,1.4407330604e-06,0.214262487753825,0.013776496,1.07873842592593,2.865855119678941,3.05683936435954,5.05605447604549,2.70932496351571,237681878.494237,0.267398910781079,0.773385604990238,0.94726307099887,0.964701922561953,-0.084718671612631,-0.233011509513164,23800597029.1941,9822931693.61363,18780852.692715,13.655542449701,256462731.186952,0.0107754747022678,0.0022442179527399,0.775629822942978,0.0079045012272827,2687790.235762,79054883.119196
1503532800000,4147.0,4265.8,4013.89,1001.136565,4148686.46581968,8629.0,309.419092,1293567.09519463,315.74,324.99,309.41,8665.72569,2753464.9450408,8540.0,2282.23633,728206.9176149,12.68,12.76,12.71,12.68,0.0,12.83,12.39,27.799999,28.370001,28.15,27.799999,0.0,28.9,27.209999,141.809998,138.338898,141.220001,136.261887,37111500.0,141.529999,140.179993,243.570007,225.038574,242.639999,222.709656,65469700.0,243.199997,241.830002,70.503998,70.585999,67.797997,70.554001,24772500.0,70.697998,67.660004,12.6,11.35,14.59,13.19,0.0,14.74,13.07,98.0,100.260002,97.489998,98.959999,0.0,99.830002,94.690002,15.8,15.97,15.97,15.8,0.0,16.309999,15.4,1.04520022122535,120.0,1781.0,62580.0,18801758.0,2841193.0,23.8895022294403,1195.6509097806852,6.76672992185911,0.13713652,16522675.0,94203343.93698,18117181351.6185,1548997.9528002378,18879615.20337477,48271.0,21959.0,1.6520816951154214,13.099411961227997,148393.60189067945,-1418152.2228913233,2.9166509069454776,18.11232458933764,36682.0,18708.0,4.270731877360252,21068810647.79909,1.5013161021e-06,0.234151903869484,0.014128637,0.746423611111111,2.9747515354826017,3.05633060775611,5.35747123610343,2.76498622702252,133566738.523836,0.203469514064885,0.776174878269589,0.957615595763351,0.966690914123718,-0.0759855783530151,-0.2245526518738345,23939454096.7873,9895400865.91496,10592280.9685872,13.609818312028,144159019.492423,0.0060218173275625,0.0016668889506398,0.777841767220229,0.0080180630687458,1653731.19109,80165218.888071
1503619200000,4316.01,4371.68,4085.01,787.418753,3296476.41316476,6247.0,206.820412,868379.0641312,323.42,328.04,314.01,6753.27192,2159417.1141537,6495.0,1901.90029,610929.1471679,12.76,12.63,12.68,12.76,0.0,12.77,12.26,28.370001,28.879999,27.799999,28.370001,0.0,29.85,27.799999,142.479996,137.846237,141.809998,138.338898,36294200.0,143.350006,141.759995,244.330002,224.231674,243.570007,225.038574,63140100.0,245.619995,243.550003,70.848,69.610001,70.503998,70.585999,22923500.0,71.332001,69.947998,11.51,12.25,12.6,11.35,0.0,12.94,11.35,99.190002,95.529999,98.0,100.260002,0.0,103.989998,97.32,15.96,15.52,15.8,15.97,0.0,16.790001,15.58,1.0744497992177,120.0,1775.0,62724.0,18898396.0,2870010.0,20.9272824585642,1204.9977336760974,5.28680784098025,0.09573285,16523937.5,94225872.53073,18265905180.199272,1521687.4899405777,18828376.382696908,50073.0,22012.0,1.4353753661956803,14.886310847944182,165700.07537252922,-1421204.3493850415,1.7239292526495726,16.645648572948815,39657.0,19782.0,3.964896476508394,21237517530.588394,1.5150498052e-06,0.252213394706494,0.016208637,0.656527777777778,2.9862171011886978,3.11953358550041,5.35311120721191,2.82463357433665,168709478.80665,0.232316481322884,0.781399580216095,0.984514647760283,0.979409923102384,-0.0353529870731289,-0.2076837470835733,24113663625.0,10006571831.9781,6043190.96543649,28.917284059294,174752669.772087,0.0072470393752573,0.0012969428959947,0.782696523112089,0.0083688131765293,1579018.683838,80186849.620393
1503705600000,4280.71,4453.91,4247.48,573.61274,2484637.34936327,6554.0,100.097974,434577.13574645,327.24,338.28,323.42,7125.96962,2354162.038294,7452.0,2595.82561,859314.6835184,12.76,12.63,12.68,12.76,0.0,12.77,12.26,28.370001,28.879999,27.799999,28.370001,0.0,29.85,27.799999,142.479996,137.846237,141.809998,138.338898,36294200.0,143.350006,141.759995,244.330002,224.231674,243.570007,225.038574,63140100.0,245.619995,243.550003,70.848,69.610001,70.503998,70.585999,22923500.0,71.332001,69.947998,11.51,12.25,12.6,11.35,0.0,12.94,11.35,99.190002,95.529999,98.0,100.260002,0.0,103.989998,97.32,15.96,15.52,15.8,15.97,0.0,16.790001,15.58,1.0645704280041,120.0,1776.0,62973.0,18951918.0,2892493.0,33.12505654809,1212.2522981039997,5.33451500047924,0.08515399,16525200.0,94244696.43698,18378766491.501938,1525136.5396309977,18826732.72359225,47056.0,19202.0,1.201000670665507,11.288892110565024,122989.5097609493,-1326434.0892536864,1.5389840721670955,15.517716707990502,32330.0,14814.0,4.085961687882515,21370065935.131508,1.5057148798e-06,0.244740424993616,0.015795739,0.913101851851852,2.956950567861925,3.1006926286467,5.30525582405246,2.80555136497997,132552043.066767,0.211346537078156,0.779870928267691,0.988739145941992,0.980223723520208,-0.0246625960525856,-0.1913810439587258,24251876684.605,10071678301.4283,9165607.54802383,15.4618938103395,141717650.614791,0.0058435746007546,0.0012910393883665,0.781161967656057,0.0083160590674301,1574687.165134,80034081.324209
