,TSLA_OPEN,TSLA_PREV_OPEN
276,55.363998,57.18
277,56.897999,56.93
278,55.001999,56.265999
279,55.813999,57.551998
280,55.57,55.551998
281,55.77,55.68
282,55.77,55.68
283,55.77,55.68
284,55.77,55.68
285,56.751999,55.526001
286,58.344002,55.702
287,56.945999,56.658001
288,58.363998,57.442001
289,58.363998,57.442001
290,58.363998,57.442001
291,59.348,57.172001
292,58.226002,58.868
293,63.900002,59.540001
294,63.217999,60.099998
295,63.532001,63.23
296,63.532001,63.23
297,63.532001,63.23
298,66.419998,63.799999
299,68.554001,64.501999
300,68.956001,68.940002
301,71.543999,69.342003
302,71.634003,69.526001
303,71.634003,69.526001
304,71.634003,69.526001
305,74.166,70.767998
306,70.510002,71.080002
307,72.444,73.031998
308,69.501999,71.608002
309,66.725998,72.400002
310,66.725998,72.400002
311,66.725998,72.400002
312,66.601997,70.307999
313,68.400002,66.024002
314,68.900002,67.209999
315,69.986,69.0
316,68.589996,69.732002
317,68.589996,69.732002
318,68.589996,69.732002
319,67.014,70.666
320,62.172001,72.014
321,62.172001,72.014
322,61.832001,66.349998
323,61.779999,62.751999
324,61.779999,62.751999
325,61.779999,62.751999
326,63.702,60.990002
327,64.494003,62.397999
328,63.792,64.912003
329,63.341999,63.16
330,63.773998,64.286003
331,63.773998,64.286003
332,63.773998,64.286003
333,62.02,63.116001
334,64.538002,62.341999
335,64.769997,61.762001
336,64.045998,65.0
337,62.716,63.265999
338,62.716,63.265999
339,62.716,63.265999
340,60.639999,64.246002
341,59.486,60.368
342,61.748001,60.883999
343,61.330002,59.348
344,59.436001,60.970001
345,59.436001,60.970001
346,59.436001,60.970001
347,58.034,61.450001
348,59.627998,59.18
349,60.167999,58.450001
350,69.907997,59.598
351,69.634003,65.688004
352,69.634003,65.688004
353,69.634003,65.688004
354,68.398003,69.561996
355,75.914001,69.092003
356,74.068001,68.767998
357,70.489998,73.818001
358,71.098,73.110001
359,71.098,73.110001
360,71.098,73.110001
