Date,Open,High,Low,Close,Adj Close,Volume
2017-07-28,29.809999,30.740000,29.750000,29.860001,29.860001,0
2017-07-31,29.860001,31.290001,29.860001,30.840000,30.840000,0
2017-08-01,30.840000,31.190001,29.879999,30.540001,30.540001,0
2017-08-02,30.540001,31.430000,29.980000,30.430000,30.430000,0
2017-08-03,30.430000,30.459999,29.290001,29.650000,29.650000,0
2017-08-04,29.309999,29.639999,28.280001,28.530001,28.530001,0
2017-08-07,28.530001,29.969999,28.530001,28.730000,28.730000,0
2017-08-08,29.389999,29.780001,28.870001,29.440001,29.440001,0
2017-08-09,29.440001,29.719999,28.440001,29.059999,29.059999,0
2017-08-10,29.059999,29.570000,28.650000,29.270000,29.270000,0
2017-08-11,29.270000,29.270000,28.270000,28.410000,28.410000,0
2017-08-14,29.799999,29.799999,27.770000,29.160000,29.160000,0
2017-08-15,29.840000,30.049999,28.990000,29.309999,29.309999,0
2017-08-16,29.309999,29.650000,25.980000,29.180000,29.180000,0
2017-08-17,29.340000,29.670000,28.590000,29.309999,29.309999,0
2017-08-18,29.309999,29.770000,27.270000,27.530001,27.530001,0
2017-08-21,28.180000,29.469999,27.950001,28.770000,28.770000,0
2017-08-22,28.770000,28.900000,27.930000,27.969999,27.969999,0
2017-08-23,28.150000,28.900000,27.209999,27.799999,27.799999,0
2017-08-24,27.799999,29.850000,27.799999,28.370001,28.370001,0
2017-08-25,28.370001,29.370001,28.370001,28.879999,28.879999,0
2017-08-28,28.879999,31.440001,28.879999,30.389999,30.389999,0
2017-08-29,30.389999,31.480000,30.240000,30.490000,30.490000,0
2017-08-30,30.490000,31.059999,29.200001,29.780001,29.780001,0
2017-08-31,29.780001,29.780001,28.549999,29.100000,29.100000,0
2017-09-01,29.030001,29.200001,28.480000,28.969999,28.969999,0
2017-09-05,28.969999,30.280001,28.969999,29.580000,29.580000,0
2017-09-06,29.740000,30.299999,29.530001,30.070000,30.070000,0
2017-09-07,30.070000,30.180000,29.410000,29.730000,29.730000,0
2017-09-08,30.100000,30.100000,29.250000,29.490000,29.490000,0
2017-09-11,28.559999,29.510000,27.370001,27.730000,27.730000,0
2017-09-12,27.730000,28.139999,26.680000,27.590000,27.590000,0
2017-09-13,27.820000,28.690001,26.430000,26.620001,26.620001,0
2017-09-14,25.530001,27.650000,25.309999,26.090000,26.090000,0
2017-09-15,26.090000,27.510000,25.639999,26.650000,26.650000,0
2017-09-18,27.350000,27.930000,26.670000,27.530001,27.530001,0
2017-09-19,26.680000,26.680000,25.480000,25.760000,25.760000,0
2017-09-20,25.760000,27.830000,25.450001,26.990000,26.990000,0
2017-09-21,26.990000,27.600000,25.900000,26.299999,26.299999,0
2017-09-22,26.299999,27.170000,26.170000,26.389999,26.389999,0
2017-09-25,26.389999,27.870001,26.389999,26.930000,26.930000,0
2017-09-26,26.930000,27.980000,26.930000,27.799999,27.799999,0
2017-09-27,27.230000,28.120001,25.820000,27.290001,27.290001,0
2017-09-28,27.290001,27.350000,26.490000,27.180000,27.180000,0
2017-09-29,27.180000,27.540001,26.450001,26.830000,26.830000,0
2017-10-02,28.520000,29.080000,27.639999,27.719999,27.719999,0
2017-10-03,27.719999,28.080000,27.330000,27.950001,27.950001,0
2017-10-04,27.950001,29.160000,27.010000,27.040001,27.040001,0
2017-10-05,26.930000,26.990000,25.670000,26.450001,26.450001,0
2017-10-06,27.120001,27.820000,27.120001,27.590000,27.590000,0
2017-10-09,27.590000,27.920000,26.920000,27.320000,27.320000,0
2017-10-10,26.600000,26.959999,25.959999,26.540001,26.540001,0
2017-10-11,26.540001,26.540001,26.430000,26.430000,26.430000,0
2017-10-12,26.690001,27.020000,25.549999,25.850000,25.850000,0
2017-10-13,25.850000,26.110001,25.160000,25.730000,25.730000,0
2017-10-16,25.730000,27.290001,25.000000,26.320000,26.320000,0
2017-10-17,26.400000,27.209999,25.650000,25.870001,25.870001,0
2017-10-18,25.870001,26.889999,24.520000,26.410000,26.410000,0
2017-10-19,26.790001,27.010000,25.900000,26.299999,26.299999,0
2017-10-20,26.650000,26.650000,24.480000,24.510000,24.510000,0
2017-10-23,26.330000,26.330000,25.010000,25.080000,25.080000,0
2017-10-24,26.410000,26.500000,25.330000,25.600000,25.600000,0
2017-10-25,25.600000,26.170000,24.559999,25.440001,25.440001,0
2017-10-26,25.440001,26.230000,24.500000,25.219999,25.219999,0
2017-10-27,25.459999,26.500000,24.420000,25.180000,25.180000,0
2017-10-30,25.180000,26.120001,24.930000,25.330000,25.330000,0
2017-10-31,25.330000,25.370001,25.280001,25.309999,25.309999,0
2017-11-01,25.309999,25.820000,24.500000,25.650000,25.650000,0
2017-11-02,25.650000,25.650000,25.650000,25.650000,25.650000,0
2017-11-03,25.650000,25.650000,24.090000,24.820000,24.820000,0
2017-11-06,26.580000,28.290001,25.150000,26.850000,26.850000,0
2017-11-07,26.850000,28.760000,26.850000,28.750000,28.750000,0
2017-11-08,28.750000,28.750000,26.680000,27.990000,27.990000,0
